Company,Ticker,Date,Quarter,Actual EPS,Analyst Estimate,SUE,Transcript,Sentiment,Average_Score
Apple,AAPL,"January 27, 2022",Q1,$2.10,$1.89,$0.21,https://www.apple.com/newsroom/2022/01/apple-reports-first-quarter-results/,NEGATIVE,1.0
Apple,AAPL,"April 28, 2022",Q2,$1.52,$1.43,$0.09,https://www.apple.com/newsroom/2022/04/apple-reports-second-quarter-results/,NEGATIVE,2.3333333333333335
Apple,AAPL,"July 28, 2022",Q3,$1.20,$1.16,$0.04,https://www.apple.com/newsroom/2022/07/apple-reports-third-quarter-results/,NEGATIVE,2.3333333333333335
Apple,AAPL,"October 27, 2022",Q4,$1.29,$1.27,$0.02,https://www.apple.com/newsroom/2022/10/apple-reports-fourth-quarter-results/,NEGATIVE,2.75
Walmart,WMT,"May 18, 2021",Q1,$1.69,$1.21,$0.48,https://s201.q4cdn.com/262069030/files/doc_financials/2022/q1/1Q22-Transcript.pdf,POSITIVE,3.080808080808081
Walmart,WMT,"August 17, 2021",Q2,$1.78,$1.57,$0.21,https://s201.q4cdn.com/262069030/files/doc_financials/2022/q2/2Q22-Transcript.pdf,NEGATIVE,2.967741935483871
Walmart,WMT,"November 16, 2021",Q3,$1.45,$1.40,$0.05,https://s201.q4cdn.com/262069030/files/doc_financials/2022/q3/3Q22-Transcript.pdf,NEGATIVE,2.7096774193548385
Walmart,WMT,"February 17, 2022",Q4,$1.53,$1.50,$0.03,https://s201.q4cdn.com/262069030/files/doc_financials/2022/q4/4Q22-Transcript.pdf,POSITIVE,3.152173913043478
Boeing,BA,"April 27, 2022",Q1,-$2.75,-$0.25,-$2.50,https://s2.q4cdn.com/661678649/files/doc_financials/2022/q1/1Q22-Earnings-Call-Transcripts.pdf,NEGATIVE,2.0714285714285716
Boeing,BA,"July 27, 2022",Q2,-$0.37,-$0.14,-$0.23,https://s2.q4cdn.com/661678649/files/doc_financials/2022/q2/2Q22-Earnings-Call-Transcript.pdf,NEGATIVE,2.0864197530864197
