Company,Ticker,Date,Quarter,Actual EPS,Analyst Estimate,SUE,Transcript,Sentiment,Average_Score
Boeing,BA,"October 26, 2022",Q3,-$6.18,$0.11,-$6.29,https://s2.q4cdn.com/661678649/files/doc_financials/2022/q3/3Q22-Earnings-Call-Transcript.pdf,NEGATIVE,2.013333333333333
Boeing,BA,"January 25, 2023",Q4,-$1.75,$0.18,-$1.93,https://s2.q4cdn.com/661678649/files/doc_financials/2022/q4/4Q22-_-Boeing-Earnings-Call-Transcript.pdf,NEGATIVE,2.240506329113924
UnitedHealth,UNH,"April 14, 2022",Q1,$5.49,$5.37,$0.12,https://www.unitedhealthgroup.com/content/dam/UHG/PDF/investors/2022/UNH-Q1-2022-Release.pdf,NEGATIVE,2.413793103448276
UnitedHealth,UNH,"July 15, 2022",Q2,$5.57,$5.21,$0.36,https://www.unitedhealthgroup.com/content/dam/UHG/PDF/investors/2022/UNH-Q2-2022-Release.pdf,NEGATIVE,2.0714285714285716
UnitedHealth,UNH,"October 14, 2022",Q3,$5.79,$5.43,$0.36,https://www.unitedhealthgroup.com/content/dam/UHG/PDF/investors/2022/UNH-Q3-2022-Release.pdf,NEGATIVE,2.3666666666666667
UnitedHealth,UNH,"January 13, 2023",Q4,$5.34,$5.17,$0.17,https://www.unitedhealthgroup.com/content/dam/UHG/PDF/investors/2022/UNH-Q4-2022-Release.pdf,NEGATIVE,1.793103448275862
Alphabet,GOOG,"April 26, 2022",Q1,$1.23,$1.29,-$0.06,https://abc.xyz/assets/investor/static/pdf/2022_Q1_Earnings_Transcript.pdf,POSITIVE,3.121212121212121
Alphabet,GOOG,"July 26, 2022",Q2,$1.21,$1.27,-$0.06,https://abc.xyz/assets/investor/static/pdf/2022_Q2_Earnings_Transcript.pdf,POSITIVE,3.3181818181818183
Alphabet,GOOG,"October 25, 2022",Q3,$1.06,$1.26,-$0.20,https://abc.xyz/assets/investor/static/pdf/2022_Q3_Earnings_Transcript.pdf,POSITIVE,3.1470588235294117
Alphabet,GOOG,"February 2, 2023",Q4,$1.05,$1.18,-$0.13,https://abc.xyz/assets/investor/static/pdf/2022_Q4_Earnings_Transcript.pdf,POSITIVE,3.4153846153846152
ExxonMobil,XOM,"April 29, 2022",Q1,$2.07,$2.23,-$0.16,https://d1io3yog0oux5.cloudfront.net/_96f1aa624ee9dcb70c551ff43d9acf89/exxonmobil/db/2288/21374/webcast_transcript/1Q22-XOM-Earnings-Call-Transcript-4-29-22.pdf,NEGATIVE,2.5142857142857142
ExxonMobil,XOM,"July 29, 2022",Q2,$4.14,$3.83,$0.31,https://d1io3yog0oux5.cloudfront.net/_96f1aa624ee9dcb70c551ff43d9acf89/exxonmobil/db/2288/21375/webcast_transcript/2Q-2022-Earnings-Call-Transcript.pdf,NEGATIVE,2.6527777777777777
ExxonMobil,XOM,"October 28, 2022",Q3,$4.45,$3.86,$0.59,https://d1io3yog0oux5.cloudfront.net/_96f1aa624ee9dcb70c551ff43d9acf89/exxonmobil/db/2288/21376/webcast_transcript/3q22-earnings-transcript.pdf,NEUTRAL,No Score
ExxonMobil,XOM,"January 31, 2023",Q4,$3.40,$3.29,$0.11,https://d1io3yog0oux5.cloudfront.net/_96f1aa624ee9dcb70c551ff43d9acf89/exxonmobil/db/2288/21652/webcast_transcript/4q22-earnings-transcript.pdf,NEGATIVE,2.9305555555555554
Amazon,AMZN,"April 28, 2022",Q1,-$0.38,$0.42,-$0.80,https://s2.q4cdn.com/299287126/files/doc_financials/2022/q1/Q1-2022-Amazon-Earnings-Release.pdf,POSITIVE,3.2432432432432434
Amazon,AMZN,"July 28, 2022",Q2,-$0.20,$0.12,-$0.32,https://s2.q4cdn.com/299287126/files/doc_financials/2022/q2/Q2-2022-Amazon-Earnings-Release.pdf,NEGATIVE,2.962962962962963
Amazon,AMZN,"October 27, 2022",Q3,$0.28,$0.22,$0.06,https://s2.q4cdn.com/299287126/files/doc_financials/2022/q3/Q3-2022-Amazon-Earnings-Release.pdf,NEGATIVE,2.456140350877193
Amazon,AMZN,"February 2, 2023",Q4,$0.03,$0.17,-$0.14,https://s2.q4cdn.com/299287126/files/doc_financials/2022/q4/Q4-2022-Amazon-Earnings-Release.pdf,NEGATIVE,2.466666666666667
Chevron,CVX,"April 29, 2022",Q1,$3.36,$3.40,-$0.04,https://chevroncorp.gcs-web.com/static-files/90e7a807-657f-4ac6-a372-64aec6b8a22e,NEGATIVE,2.168831168831169
Chevron,CVX,"July 29, 2022",Q2,5.82,5.09,$0.73,https://chevroncorp.gcs-web.com/static-files/77edb6d8-6fa0-434d-8eb9-0b660c935633,NEGATIVE,2.7439024390243905
Chevron,CVX,"October 28, 2022",Q3,$5.56,$4.89,$0.67,https://chevroncorp.gcs-web.com/static-files/b6b20226-67c8-4d89-8746-8e8fd05a2d03,NEGATIVE,2.328767123287671
Chevron,CVX,"January 27, 2023",Q4,$4.09,$4.33,-$0.24,https://chevroncorp.gcs-web.com/static-files/f936136d-9afa-4c8b-a1a5-29ec43276caa,NEGATIVE,2.4358974358974357
Uber,UBER,"May 4, 2022",Q1,-$3.04,-$0.27,-$2.77,https://s23.q4cdn.com/407969754/files/doc_financials/2022/q1/UBER-Q1-2022-Prepared-Remarks.pdf,POSITIVE,3.625
Uber,UBER,"August 2, 2022",Q2,-$1.33,-$0.27,-$1.06,https://s23.q4cdn.com/407969754/files/doc_financials/2022/q2/Q2-2022-Prepared-Remarks.pdf,POSITIVE,3.8518518518518516
Uber,UBER,"November 1, 2022",Q3,-$0.61,-$0.17,-$0.44,https://s23.q4cdn.com/407969754/files/doc_financials/2022/q3/Uber-Q3-22-Prepared-Remarks.pdf,POSITIVE,3.3333333333333335
Uber,UBER,"February 8, 2023",Q4,$0.29,-$0.15,$0.44,https://s23.q4cdn.com/407969754/files/doc_financials/2022/q4/Uber-Q4-22-Prepared-Remarks.pdf,POSITIVE,3.423076923076923
JP,JPM,"April 13, 2022",Q1,$2.63,$2.69,-$0.06,https://www.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/investor-relations/documents/1Q22-earnings-transcript,NEGATIVE,1.9295774647887325
JP,JPM,"July 14, 2022",Q2,$2.76,$2.89,-$0.13,https://www.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/investor-relations/documents/quarterly-earnings/2022/2nd-quarter/jpmc-2q22-earnings-call-final-transcript.pdf,NEGATIVE,1.855263157894737
JP,JPM,"October 14, 2022",Q3,$3.12,$2.90,$0.22,https://www.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/investor-relations/documents/quarterly-earnings/2022/3rd-quarter/jpm-3Q22-earnings-call-final-transcript.pdf,NEGATIVE,1.7575757575757576
JP,JPM,"January 13, 2023",Q4,$3.57,$3.08,$0.49,https://www.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/investor-relations/documents/events/2022/fourth-quarter/jpm-4q22-earnings-call-final-transcript.pdf,NEGATIVE,1.85
